A1(X)	A1(Y)	A2(X)	A2(Y)	A3(X)	A3(Y)	B2(X)	B2(Y)	B3(X)	B3(Y)
6938.063	-6845	6938.063	-6980	6938.063	-4762.5	6938.063	-4380	6938.063	-3685
6938.064	-6705	6938.064	-6972.5	6938.064	-4702.5	6938.064	-4185	6938.064	-3632.5
6938.065	-6572.5	6938.065	-6777.5	6938.065	-4647.5	6938.065	-4135	6938.065	-3525
6938.066	-6407.5	6938.066	-6605	6938.066	-4570	6938.066	-4060	6938.066	-3450
6938.067	-6305	6938.067	-6422.5	6938.067	-4472.5	6938.067	-3922.5	6938.067	-3360
6938.068	-6090	6938.068	-6247.5	6938.068	-4430	6938.068	-3805	6938.068	-3352.5
6938.069	-6080	6938.069	-6145	6938.069	-4345	6938.069	-3715	6938.069	-3240
6938.07	-6020	6938.07	-6010	6938.07	-4297.5	6938.07	-3720	6938.07	-3185
6938.071	-5830	6938.071	-5982.5	6938.071	-4265	6938.071	-3655	6938.071	-3140
6938.072	-5815	6938.072	-5855	6938.072	-4197.5	6938.072	-3592.5	6938.072	-3020
6938.073	-5752.5	6938.073	-5745	6938.073	-4120	6938.073	-3515	6938.073	-3012.5
6938.074	-5767.5	6938.074	-5740	6938.074	-4082.5	6938.074	-3497.5	6938.074	-2950
6938.075	-5682.5	6938.075	-5722.5	6938.075	-4037.5	6938.075	-3515	6938.075	-2970
6938.076	-5645	6938.076	-5717.5	6938.076	-4010	6938.076	-3502.5	6938.076	-2922.5
6938.077	-5725	6938.077	-5795	6938.077	-4005	6938.077	-3567.5	6938.077	-2925
6938.078	-5745	6938.078	-5842.5	6938.078	-3955	6938.078	-3510	6938.078	-2865
6938.079	-5722.5	6938.079	-5760	6938.079	-3882.5	6938.079	-3560	6938.079	-2765
6938.08	-5655	6938.08	-5800	6938.08	-3870	6938.08	-3575	6938.08	-2800
6938.081	-5632.5	6938.081	-5805	6938.081	-3850	6938.081	-3560	6938.081	-2760
6938.082	-5660	6938.082	-5800	6938.082	-3762.5	6938.082	-3502.5	6938.082	-2712.5
6938.083	-5522.5	6938.083	-5715	6938.083	-3727.5	6938.083	-3477.5	6938.083	-2660
6938.084	-5547.5	6938.084	-5612.5	6938.084	-3665	6938.084	-3415	6938.084	-2635
