C2(X)	C2(Y)	C3(X)	C3(Y)	D1(X)	D1(Y)	D3(X)	D3(Y)	D4(X)	D4(Y)
6938.063	-9185	6938.063	-6132.5	6938.063	-4737.5	6938.063	-6427.5	6938.063	-577.5
6938.064	-8950	6938.064	-5912.5	6938.064	-4510	6938.064	-6290	6938.064	-535
6938.065	-8722.5	6938.065	-5860	6938.065	-4312.5	6938.065	-6195	6938.065	-525
6938.066	-8540	6938.066	-5687.5	6938.066	-4160	6938.066	-5957.5	6938.066	-490
6938.067	-8377.5	6938.067	-5582.5	6938.067	-3860	6938.067	-5830	6938.067	-512.5
6938.068	-8150	6938.068	-5427.5	6938.068	-3582.5	6938.068	-5662.5	6938.068	-457.5
6938.069	-7995	6938.069	-5350	6938.069	-3532.5	6938.069	-5542.5	6938.069	-467.5
6938.07	-7780	6938.07	-5277.5	6938.07	-3342.5	6938.07	-5387.5	6938.07	-425
6938.071	-7625	6938.071	-5157.5	6938.071	-3125	6938.071	-5207.5	6938.071	-415
6938.072	-7540	6938.072	-5107.5	6938.072	-3072.5	6938.072	-5105	6938.072	-400
6938.073	-7345	6938.073	-4967.5	6938.073	-2987.5	6938.073	-4995	6938.073	-390
6938.074	-7325	6938.074	-4932.5	6938.074	-3065	6938.074	-4997.5	6938.074	-380
6938.075	-7382.5	6938.075	-4887.5	6938.075	-3470	6938.075	-5027.5	6938.075	-355
6938.076	-7315	6938.076	-4815	6938.076	-3492.5	6938.076	-5032.5	6938.076	-342.5
6938.077	-7312.5	6938.077	-4810	6938.077	-3657.5	6938.077	-5057.5	6938.077	-322.5
6938.078	-7302.5	6938.078	-4775	6938.078	-3822.5	6938.078	-5065	6938.078	-345
6938.079	-7292.5	6938.079	-4687.5	6938.079	-3895	6938.079	-5067.5	6938.079	-285
6938.08	-7362.5	6938.08	-4670	6938.08	-4015	6938.08	-5077.5	6938.08	-285
6938.081	-7302.5	6938.081	-4650	6938.081	-4080	6938.081	-5060	6938.081	-277.5
6938.082	-7255	6938.082	-4567.5	6938.082	-4180	6938.082	-5055	6938.082	-255
6938.083	-7145	6938.083	-4430	6938.083	-4142.5	6938.083	-5027.5	6938.083	-227.5
6938.084	-6992.5	6938.084	-4445	6938.084	-4025	6938.084	-4850	6938.084	-210
