E2(X)	E2(Y)	E3(X)	E3(Y)	E4(X)	E4(Y)	F1(X)	F1(Y)	F3(X)	F3(Y)
6938.063	-5752.5	6938.063	-2630	6938.063	-3190	6938.063	-2710	6938.063	587.5
6938.064	-5692.5	6938.064	-2592.5	6938.064	-3122.5	6938.064	-2702.5	6938.064	710
6938.065	-5495	6938.065	-2477.5	6938.065	-3025	6938.065	-2567.5	6938.065	807.5
6938.066	-5355	6938.066	-2335	6938.066	-2917.5	6938.066	-2442.5	6938.066	947.5
6938.067	-5202.5	6938.067	-2195	6938.067	-2777.5	6938.067	-2330	6938.067	1195
6938.068	-5082.5	6938.068	-2060	6938.068	-2680	6938.068	-2277.5	6938.068	1285
6938.069	-4997.5	6938.069	-2000	6938.069	-2597.5	6938.069	-2207.5	6938.069	1385
6938.07	-4927.5	6938.07	-1985	6938.07	-2520	6938.07	-2100	6938.07	1587.5
6938.071	-4755	6938.071	-1862.5	6938.071	-2452.5	6938.071	-1975	6938.071	1772.5
6938.072	-4682.5	6938.072	-1780	6938.072	-2372.5	6938.072	-1982.5	6938.072	1895
6938.073	-4592.5	6938.073	-1667.5	6938.073	-2212.5	6938.073	-1997.5	6938.073	1995
6938.074	-4597.5	6938.074	-1687.5	6938.074	-2282.5	6938.074	-2060	6938.074	2022.5
6938.075	-4687.5	6938.075	-1730	6938.075	-2350	6938.075	-2185	6938.075	1985
6938.076	-4750	6938.076	-1682.5	6938.076	-2377.5	6938.076	-2092.5	6938.076	2007.5
6938.077	-4815	6938.077	-1775	6938.077	-2270	6938.077	-2195	6938.077	1955
6938.078	-4912.5	6938.078	-1722.5	6938.078	-2247.5	6938.078	-2100	6938.078	1860
6938.079	-4907.5	6938.079	-1687.5	6938.079	-2170	6938.079	-2097.5	6938.079	1857.5
6938.08	-5020	6938.08	-1700	6938.08	-2177.5	6938.08	-2220	6938.08	1787.5
6938.081	-4962.5	6938.081	-1817.5	6938.081	-2145	6938.081	-2117.5	6938.081	1737.5
6938.082	-4970	6938.082	-1727.5	6938.082	-2135	6938.082	-2147.5	6938.082	1775
6938.083	-4930	6938.083	-1672.5	6938.083	-2135	6938.083	-2130	6938.083	1802.5
6938.084	-4950	6938.084	-1692.5	6938.084	-1965	6938.084	-2095	6938.084	1870
6938.085	-4782.5	6938.085	-1500	6938.085	-1837.5	6938.085	-2092.5	6938.085	1915
6938.086	-4695	6938.086	-1482.5	6938.086	-1805	6938.086	-1862.5	6938.086	2065
6938.087	-4492.5	6938.087	-1387.5	6938.087	-1762.5	6938.087	-1802.5	6938.087	2215
6938.088	-4280	6938.088	-1267.5	6938.088	-1655	6938.088	-1642.5	6938.088	2352.5
6938.089	-4135	6938.089	-1175	6938.089	-1487.5	6938.089	-1642.5	6938.089	2480
6938.09	-3965	6938.09	-1060	6938.09	-1410	6938.09	-1507.5	6938.09	2627.5
6938.091	-3927.5	6938.091	-982.5	6938.091	-1367.5	6938.091	-1475	6938.091	2790
6938.092	-3760	6938.092	-865	6938.092	-1275	6938.092	-1365	6938.092	2885
6938.093	-3700	6938.093	-810	6938.093	-1187.5	6938.093	-1447.5	6938.093	3010
6938.094	-3697.5	6938.094	-822.5	6938.094	-1192.5	6938.094	-1452.5	6938.094	3020
6938.095	-3742.5	6938.095	-877.5	6938.095	-1187.5	6938.095	-1495	6938.095	2962.5
6938.096	-3705	6938.096	-755	6938.096	-1160	6938.096	-1495	6938.096	2875
6938.097	-3747.5	6938.097	-832.5	6938.097	-1142.5	6938.097	-1430	6938.097	2912.5
6938.098	-3732.5	6938.098	-827.5	6938.098	-1185	6938.098	-1432.5	6938.098	2842.5
6938.099	-3850	6938.099	-845	6938.099	-1077.5	6938.099	-1490	6938.099	2822.5
6938.1	-3910	6938.1	-780	6938.1	-1042.5	6938.1	-1515	6938.1	2767.5
6938.101	-3875	6938.101	-740	6938.101	-947.5	6938.101	-1525	6938.101	2692.5
6938.102	-3800	6938.102	-737.5	6938.102	-885	6938.102	-1357.5	6938.102	2710
6938.103	-3845	6938.103	-642.5	6938.103	-790	6938.103	-1357.5	6938.103	2847.5
6938.104	-3740	6938.104	-550	6938.104	-782.5	6938.104	-1330	6938.104	2910
6938.105	-3697.5	6938.105	-492.5	6938.105	-682.5	6938.105	-1315	6938.105	2930
6938.106	-3692.5	6938.106	-560	6938.106	-605	6938.106	-1422.5	6938.106	3055
6938.107	-3297.5	6938.107	-187.5	6938.107	-50	6938.107	-1070	6938.107	3542.5
6938.108	-1330	6938.108	1665	6938.108	1540	6938.108	997.5	6938.108	5477.5
6938.109	1195	6938.109	3860	6938.109	2980	6938.109	3617.5	6938.109	7630
6938.11	3995	6938.11	5910	6938.11	3737.5	6938.11	6965	6938.11	9430
6938.111	7212.5	6938.111	8227.5	6938.111	4787.5	6938.111	10510	6938.111	11632.5
6938.112	12852.5	6938.112	13717.5	6938.112	9325	6938.112	16422.5	6938.112	16940
6938.113	18760	6938.113	20727.5	6938.113	16617.5	6938.113	21682.5	6938.113	23970
6938.114	29102.5	6938.114	34395	6938.114	29790	6938.114	29905	6938.114	36787.5
6938.115	38625	6938.115	48527.5	6938.115	42427.5	6938.115	36697.5	6938.115	48875
6938.116	45117.5	6938.116	58520	6938.116	49452.5	6938.116	40190	6938.116	55352.5
6938.117	52665	6938.117	66412.5	6938.117	55430	6938.117	46582.5	6938.117	59530
6938.118	60485	6938.118	74542.5	6938.118	61127.5	6938.118	50177.5	6938.118	64635
6938.119	53812.5	6938.119	81917.5	6938.119	50210	6938.119	14847.5	6938.119	70632.5
6938.12	-7950	6938.12	79510	6938.12	40047.5	6938.12	-12897.5	6938.12	54577.5
6938.121	1240	6938.121	2212.5	6938.121	-3540	6938.121	-2310	6938.121	-2467.5
6938.122	6800	6938.122	3537.5	6938.122	-13640	6938.122	2927.5	6938.122	4377.5
6938.123	8090	6938.123	9127.5	6938.123	-1115	6938.123	4517.5	6938.123	7640
6938.124	7775	6938.124	10630	6938.124	2007.5	6938.124	4590	6938.124	7942.5
6938.125	8132.5	6938.125	11460	6938.125	3852.5	6938.125	5050	6938.125	8227.5
