F4(X)	F4(Y)	F5(X)	F5(Y)	G2(X)	G2(Y)	G3(X)	G3(Y)
6938.063	-3562.5	6938.063	465	6938.063	-3235	6938.063	-4055
6938.064	-3497.5	6938.064	430	6938.064	-3082.5	6938.064	-3915
6938.065	-3437.5	6938.065	452.5	6938.065	-2947.5	6938.065	-3847.5
6938.066	-3335	6938.066	442.5	6938.066	-2720	6938.066	-3767.5
6938.067	-3272.5	6938.067	370	6938.067	-2552.5	6938.067	-3640
6938.068	-3232.5	6938.068	380	6938.068	-2342.5	6938.068	-3495
6938.069	-3162.5	6938.069	300	6938.069	-2157.5	6938.069	-3427.5
6938.07	-3115	6938.07	365	6938.07	-1942.5	6938.07	-3390
6938.071	-3050	6938.071	355	6938.071	-1777.5	6938.071	-3340
6938.072	-3000	6938.072	465	6938.072	-1625	6938.072	-3280
6938.073	-2917.5	6938.073	377.5	6938.073	-1520	6938.073	-3260
6938.074	-2877.5	6938.074	315	6938.074	-1460	6938.074	-3205
6938.075	-2885	6938.075	250	6938.075	-1487.5	6938.075	-3222.5
6938.076	-2842.5	6938.076	240	6938.076	-1422.5	6938.076	-3240
6938.077	-2802.5	6938.077	130	6938.077	-1480	6938.077	-3292.5
6938.078	-2800	6938.078	135	6938.078	-1395	6938.078	-3215
6938.079	-2745	6938.079	97.5	6938.079	-1442.5	6938.079	-3280
6938.08	-2722.5	6938.08	82.5	6938.08	-1445	6938.08	-3290
6938.081	-2715	6938.081	65	6938.081	-1400	6938.081	-3265
6938.082	-2612.5	6938.082	-37.5	6938.082	-1312.5	6938.082	-3222.5
6938.083	-2577.5	6938.083	-70	6938.083	-1212.5	6938.083	-3207.5
6938.084	-2565	6938.084	-32.5	6938.084	-1097.5	6938.084	-3147.5
6938.085	-2497.5	6938.085	-132.5	6938.085	-897.5	6938.085	-3080
6938.086	-2395	6938.086	-140	6938.086	-805	6938.086	-2992.5
6938.087	-2330	6938.087	-180	6938.087	-590	6938.087	-2852.5
6938.088	-2245	6938.088	-152.5	6938.088	-367.5	6938.088	-2737.5
6938.089	-2235	6938.089	-167.5	6938.089	-217.5	6938.089	-2735
6938.09	-2155	6938.09	-32.5	6938.09	-30	6938.09	-2632.5
6938.091	-2120	6938.091	7.5	6938.091	100	6938.091	-2537.5
6938.092	-2030	6938.092	-57.5	6938.092	302.5	6938.092	-2367.5
6938.093	-1930	6938.093	30	6938.093	382.5	6938.093	-2375
6938.094	-1935	6938.094	-17.5	6938.094	477.5	6938.094	-2367.5
6938.095	-1935	6938.095	-102.5	6938.095	462.5	6938.095	-2402.5
6938.096	-1890	6938.096	-152.5	6938.096	472.5	6938.096	-2335
6938.097	-1850	6938.097	-317.5	6938.097	500	6938.097	-2367.5
6938.098	-1762.5	6938.098	-335	6938.098	470	6938.098	-2347.5
6938.099	-1717.5	6938.099	-487.5	6938.099	477.5	6938.099	-2357.5
6938.1	-1725	6938.1	-390	6938.1	462.5	6938.1	-2330
6938.101	-1622.5	6938.101	-395	6938.101	472.5	6938.101	-2322.5
6938.102	-1575	6938.102	-447.5	6938.102	492.5	6938.102	-2227.5
6938.103	-1487.5	6938.103	-350	6938.103	572.5	6938.103	-2200
6938.104	-1455	6938.104	-372.5	6938.104	717.5	6938.104	-2210
6938.105	-1480	6938.105	-307.5	6938.105	780	6938.105	-2177.5
6938.106	-1482.5	6938.106	-437.5	6938.106	970	6938.106	-2315
6938.107	-1262.5	6938.107	-255	6938.107	1605	6938.107	-2130
6938.108	335	6938.108	900	6938.108	3657.5	6938.108	-427.5
6938.109	2052.5	6938.109	1795	6938.109	5975	6938.109	1532.5
6938.11	3502.5	6938.11	1850	6938.11	8335	6938.11	3857.5
6938.111	5547.5	6938.111	2387.5	6938.111	11055	6938.111	6785
6938.112	11107.5	6938.112	7200	6938.112	16060	6938.112	12500
6938.113	18822.5	6938.113	16320	6938.113	21017.5	6938.113	18990
6938.114	32200	6938.114	33032.5	6938.114	29307.5	6938.114	30182.5
6938.115	44080	6938.115	49650	6938.115	35890	6938.115	40037.5
6938.116	52200	6938.116	60627.5	6938.116	39180	6938.116	47085
6938.117	59310	6938.117	67115	6938.117	45372.5	6938.117	53620
6938.118	68930	6938.118	76452.5	6938.118	50250	6938.118	60052.5
6938.119	71125	6938.119	81917.5	6938.119	33582.5	6938.119	56422.5
6938.12	24752.5	6938.12	19792.5	6938.12	-11102.5	6938.12	39135
6938.121	15555	6938.121	-8982.5	6938.121	-1815	6938.121	39162.5
6938.122	10862.5	6938.122	4060	6938.122	2015	6938.122	28412.5
6938.123	247.5	6938.123	9662.5	6938.123	3437.5	6938.123	8030
6938.124	-257.5	6938.124	11075	6938.124	3290	6938.124	4305
6938.125	547.5	6938.125	12610	6938.125	3727.5	6938.125	4465
6938.126	1800	6938.126	13917.5	6938.126	4355	6938.126	4917.5
6938.127	1502.5	6938.127	14040	6938.127	3915	6938.127	4187.5
6938.128	2460	6938.128	14560	6938.128	3720	6938.128	4527.5
6938.129	3402.5	6938.129	15525	6938.129	3642.5	6938.129	5185
6938.13	4260	6938.13	16547.5	6938.13	3440	6938.13	5845
6938.131	4185	6938.131	16760	6938.131	2730	6938.131	5787.5
6938.132	4402.5	6938.132	17525	6938.132	2435	6938.132	6185
6938.133	5292.5	6938.133	18857.5	6938.133	2450	6938.133	7020
6938.134	6275	6938.134	20137.5	6938.134	2665	6938.134	8217.5
6938.135	7165	6938.135	21237.5	6938.135	2895	6938.135	9375
6938.136	8202.5	6938.136	21985	6938.136	3107.5	6938.136	10677.5
6938.137	9255	6938.137	22582.5	6938.137	3460	6938.137	12175
6938.138	10390	6938.138	22965	6938.138	3925	6938.138	13597.5
6938.139	11455	6938.139	22972.5	6938.139	4447.5	6938.139	14942.5
6938.14	12457.5	6938.14	23040	6938.14	5175	6938.14	16242.5
6938.141	13352.5	6938.141	22832.5	6938.141	6020	6938.141	17295
6938.142	14122.5	6938.142	22412.5	6938.142	6790	6938.142	18210
6938.143	14722.5	6938.143	21972.5	6938.143	7640	6938.143	18900
6938.144	15170	6938.144	21445	6938.144	8480	6938.144	19472.5
6938.145	15527.5	6938.145	20780	6938.145	9297.5	6938.145	19922.5
6938.146	15687.5	6938.146	20172.5	6938.146	9982.5	6938.146	20167.5
6938.147	15762.5	6938.147	19560	6938.147	10565	6938.147	20362.5
6938.148	15737.5	6938.148	18842.5	6938.148	11075	6938.148	20340
6938.149	15640	6938.149	18215	6938.149	11387.5	6938.149	20242.5
6938.15	15492.5	6938.15	17547.5	6938.15	11570	6938.15	20057.5
6938.151	15210	6938.151	16727.5	6938.151	11642.5	6938.151	19800
6938.152	14932.5	6938.152	16120	6938.152	11597.5	6938.152	19452.5
6938.153	14615	6938.153	15392.5	6938.153	11420	6938.153	19055
6938.154	14215	6938.154	14602.5	6938.154	11177.5	6938.154	18640
6938.155	13787.5	6938.155	13832.5	6938.155	10895	6938.155	18132.5
6938.156	13397.5	6938.156	13097.5	6938.156	10550	6938.156	17630
6938.157	12947.5	6938.157	12410	6938.157	10052.5	6938.157	17010
6938.158	12537.5	6938.158	11687.5	6938.158	9580	6938.158	16430
6938.159	12075	6938.159	11015	6938.159	9222.5	6938.159	15925
6938.16	11610	6938.16	10360	6938.16	8647.5	6938.16	15355
6938.161	11165	6938.161	9730	6938.161	8275	6938.161	14787.5
6938.162	10757.5	6938.162	9097.5	6938.162	7877.5	6938.162	14242.5
6938.163	10335	6938.163	8455	6938.163	7467.5	6938.163	13757.5
6938.164	9910	6938.164	7852.5	6938.164	7090	6938.164	13295
6938.165	9547.5	6938.165	7282.5	6938.165	6780	6938.165	12830
6938.166	9117.5	6938.166	6602.5	6938.166	6547.5	6938.166	12345
6938.167	8792.5	6938.167	6072.5	6938.167	6262.5	6938.167	11972.5
6938.168	8447.5	6938.168	5482.5	6938.168	6015	6938.168	11502.5
6938.169	8062.5	6938.169	4947.5	6938.169	5785	6938.169	11125
6938.17	7772.5	6938.17	4482.5	6938.17	5575	6938.17	10715
6938.171	7420	6938.171	4012.5	6938.171	5377.5	6938.171	10365
6938.172	7122.5	6938.172	3517.5	6938.172	5127.5	6938.172	9985
6938.173	6847.5	6938.173	2937.5	6938.173	4957.5	6938.173	9620
6938.174	6510	6938.174	2527.5	6938.174	4692.5	6938.174	9137.5
6938.175	6180	6938.175	1972.5	6938.175	4280	6938.175	8727.5
