H2(X)	H2(Y)	H3(X)	H3(Y)	H4(X)	H4(Y)	J3(X)	J3(Y)
6938.063	-1202.5	6938.063	6112.5	6938.063	-3397.5	6938.063	-1407.5
6938.064	-1095	6938.064	6140	6938.064	-3315	6938.064	-1312.5
6938.065	-850	6938.065	6237.5	6938.065	-3212.5	6938.065	-1217.5
6938.066	-637.5	6938.066	6260	6938.066	-3162.5	6938.066	-1102.5
6938.067	-460	6938.067	6340	6938.067	-3097.5	6938.067	-1005
6938.068	-297.5	6938.068	6485	6938.068	-2970	6938.068	-860
6938.069	-105	6938.069	6462.5	6938.069	-2897.5	6938.069	-805
6938.07	77.5	6938.07	6512.5	6938.07	-2860	6938.07	-765
6938.071	217.5	6938.071	6597.5	6938.071	-2782.5	6938.071	-690
6938.072	387.5	6938.072	6600	6938.072	-2692.5	6938.072	-637.5
6938.073	487.5	6938.073	6595	6938.073	-2585	6938.073	-577.5
6938.074	407.5	6938.074	6557.5	6938.074	-2602.5	6938.074	-572.5
6938.075	425	6938.075	6470	6938.075	-2642.5	6938.075	-545
6938.076	417.5	6938.076	6377.5	6938.076	-2600	6938.076	-587.5
6938.077	402.5	6938.077	6245	6938.077	-2602.5	6938.077	-582.5
6938.078	350	6938.078	6115	6938.078	-2610	6938.078	-662.5
6938.079	325	6938.079	6027.5	6938.079	-2592.5	6938.079	-672.5
6938.08	372.5	6938.08	5862.5	6938.08	-2502.5	6938.08	-745
6938.081	330	6938.081	5817.5	6938.081	-2462.5	6938.081	-740
6938.082	297.5	6938.082	5792.5	6938.082	-2460	6938.082	-792.5
6938.083	377.5	6938.083	5685	6938.083	-2410	6938.083	-747.5
6938.084	432.5	6938.084	5670	6938.084	-2352.5	6938.084	-742.5
6938.085	615	6938.085	5690	6938.085	-2257.5	6938.085	-632.5
6938.086	770	6938.086	5830	6938.086	-2177.5	6938.086	-615
6938.087	982.5	6938.087	5880	6938.087	-2097.5	6938.087	-440
6938.088	1207.5	6938.088	5990	6938.088	-2040	6938.088	-345
6938.089	1410	6938.089	6095	6938.089	-1965	6938.089	-260
6938.09	1565	6938.09	6117.5	6938.09	-1860	6938.09	-185
6938.091	1635	6938.091	6162.5	6938.091	-1772.5	6938.091	-82.5
6938.092	1760	6938.092	6217.5	6938.092	-1750	6938.092	-57.5
6938.093	1760	6938.093	6252.5	6938.093	-1685	6938.093	-52.5
6938.094	1762.5	6938.094	6207.5	6938.094	-1640	6938.094	-22.5
6938.095	1682.5	6938.095	6170	6938.095	-1645	6938.095	-42.5
6938.096	1655	6938.096	6035	6938.096	-1602.5	6938.096	-85
6938.097	1607.5	6938.097	6045	6938.097	-1567.5	6938.097	-70
6938.098	1555	6938.098	5805	6938.098	-1550	6938.098	-125
6938.099	1555	6938.099	5760	6938.099	-1512.5	6938.099	-110
6938.1	1427.5	6938.1	5635	6938.1	-1485	6938.1	-122.5
6938.101	1477.5	6938.101	5600	6938.101	-1425	6938.101	-65
6938.102	1545	6938.102	5557.5	6938.102	-1357.5	6938.102	-35
6938.103	1610	6938.103	5612.5	6938.103	-1212.5	6938.103	62.5
6938.104	1707.5	6938.104	5657.5	6938.104	-1120	6938.104	167.5
6938.105	1860	6938.105	5707.5	6938.105	-1055	6938.105	190
6938.106	2030	6938.106	5907.5	6938.106	-855	6938.106	527.5
6938.107	2695	6938.107	6485	6938.107	-387.5	6938.107	1080
6938.108	4712.5	6938.108	8317.5	6938.108	1202.5	6938.108	2712.5
6938.109	6785	6938.109	10050	6938.109	2520	6938.109	4275
6938.11	8890	6938.11	11270	6938.11	2972.5	6938.11	5040
6938.111	11187.5	6938.111	13072.5	6938.111	4372.5	6938.111	6457.5
6938.112	15407.5	6938.112	17585	6938.112	9375	6938.112	10340
6938.113	19480	6938.113	23295	6938.113	17135	6938.113	15225
6938.114	25605	6938.114	31437.5	6938.114	28427.5	6938.114	21867.5
6938.115	29817.5	6938.115	37107.5	6938.115	38332.5	6938.115	26907.5
6938.116	32545	6938.116	41085	6938.116	44542.5	6938.116	29722.5
6938.117	39362.5	6938.117	48125	6938.117	49445	6938.117	37600
6938.118	41385	6938.118	51345	6938.118	53125	6938.118	43490
6938.119	1852.5	6938.119	-3677.5	6938.119	29705	6938.119	28012.5
6938.12	-6120	6938.12	-4907.5	6938.12	-8005	6938.12	-9210
6938.121	-1945	6938.121	-1177.5	6938.121	-2232.5	6938.121	-7602.5
6938.122	285	6938.122	1627.5	6938.122	-737.5	6938.122	-4145
6938.123	1075	6938.123	2725	6938.123	-362.5	6938.123	-2252.5
6938.124	1137.5	6938.124	3082.5	6938.124	-212.5	6938.124	-1520
6938.125	1980	6938.125	3917.5	6938.125	745	6938.125	-402.5
6938.126	2935	6938.126	4747.5	6938.126	1790	6938.126	642.5
6938.127	2805	6938.127	4420	6938.127	1557.5	6938.127	562.5
6938.128	2732.5	6938.128	4232.5	6938.128	1632.5	6938.128	517.5
6938.129	2715	6938.129	4237.5	6938.129	1927.5	6938.129	562.5
6938.13	2582.5	6938.13	3955	6938.13	2060	6938.13	485
6938.131	1972.5	6938.131	3197.5	6938.131	1530	6938.131	-185
6938.132	1677.5	6938.132	2882.5	6938.132	1452.5	6938.132	-345
6938.133	1645	6938.133	2875	6938.133	1830	6938.133	-265
6938.134	1677.5	6938.134	2980	6938.134	2255	6938.134	-132.5
6938.135	1677.5	6938.135	2967.5	6938.135	2627.5	6938.135	-82.5
6938.136	1760	6938.136	3012.5	6938.136	3052.5	6938.136	-15
6938.137	1885	6938.137	3167.5	6938.137	3510	6938.137	162.5
6938.138	2020	6938.138	3457.5	6938.138	4047.5	6938.138	347.5
6938.139	2250	6938.139	3742.5	6938.139	4622.5	6938.139	655
6938.14	2565	6938.14	4295	6938.14	5270	6938.14	1017.5
6938.141	2967.5	6938.141	4867.5	6938.141	5922.5	6938.141	1380
6938.142	3480	6938.142	5580	6938.142	6557.5	6938.142	1880
6938.143	4087.5	6938.143	6325	6938.143	7160	6938.143	2397.5
6938.144	4730	6938.144	7130	6938.144	7725	6938.144	3025
6938.145	5390	6938.145	8032.5	6938.145	8207.5	6938.145	3705
6938.146	6210	6938.146	8850	6938.146	8605	6938.146	4377.5
6938.147	6752.5	6938.147	9617.5	6938.147	8980	6938.147	5052.5
6938.148	7400	6938.148	10247.5	6938.148	9220	6938.148	5657.5
6938.149	7785	6938.149	10642.5	6938.149	9435	6938.149	6120
6938.15	8122.5	6938.15	11017.5	6938.15	9517.5	6938.15	6597.5
6938.151	8410	6938.151	11277.5	6938.151	9530	6938.151	6922.5
6938.152	8477.5	6938.152	11427.5	6938.152	9397.5	6938.152	7235
6938.153	8577.5	6938.153	11490	6938.153	9292.5	6938.153	7357.5
6938.154	8507.5	6938.154	11520	6938.154	9127.5	6938.154	7375
6938.155	8252.5	6938.155	11385	6938.155	8870	6938.155	7367.5
6938.156	7950	6938.156	11217.5	6938.156	8587.5	6938.156	7305
6938.157	7600	6938.157	10985	6938.157	8355	6938.157	7067.5
6938.158	7260	6938.158	10632.5	6938.158	7980	6938.158	6822.5
6938.159	6890	6938.159	10302.5	6938.159	7692.5	6938.159	6582.5
6938.16	6472.5	6938.16	9995	6938.16	7320	6938.16	6272.5
6938.161	6132.5	6938.161	9670	6938.161	7047.5	6938.161	6012.5
6938.162	5842.5	6938.162	9307.5	6938.162	6720	6938.162	5600
6938.163	5507.5	6938.163	8952.5	6938.163	6375	6938.163	5302.5
6938.164	5077.5	6938.164	8685	6938.164	6082.5	6938.164	5102.5
6938.165	4922.5	6938.165	8442.5	6938.165	5787.5	6938.165	4870
6938.166	4697.5	6938.166	8185	6938.166	5512.5	6938.166	4595
6938.167	4505	6938.167	7947.5	6938.167	5310	6938.167	4355
6938.168	4282.5	6938.168	7782.5	6938.168	5007.5	6938.168	4115
6938.169	4085	6938.169	7530	6938.169	4710	6938.169	3915
6938.17	3902.5	6938.17	7355	6938.17	4480	6938.17	3727.5
6938.171	3730	6938.171	7220	6938.171	4295	6938.171	3522.5
6938.172	3387.5	6938.172	6957.5	6938.172	3990	6938.172	3282.5
6938.173	3205	6938.173	6707.5	6938.173	3765	6938.173	3072.5
6938.174	2930	6938.174	6425	6938.174	3505	6938.174	2832.5
6938.175	2555	6938.175	6037.5	6938.175	3265	6938.175	2460
6938.176	2250	6938.176	5640	6938.176	3007.5	6938.176	2245
6938.177	1945	6938.177	5172.5	6938.177	2830	6938.177	2005
6938.178	1717.5	6938.178	4752.5	6938.178	2575	6938.178	1792.5
6938.179	1400	6938.179	4337.5	6938.179	2372.5	6938.179	1557.5
6938.18	1060	6938.18	3877.5	6938.18	2185	6938.18	1267.5
6938.181	837.5	6938.181	3377.5	6938.181	2005	6938.181	1112.5
6938.182	592.5	6938.182	2915	6938.182	1880	6938.182	992.5
6938.183	497.5	6938.183	2572.5	6938.183	1707.5	6938.183	857.5
6938.184	405	6938.184	2247.5	6938.184	1605	6938.184	657.5
