A1(X)	A1(Y)	A2(X)	A2(Y)	A3(X)	A3(Y)	B3(X)	B3(Y)	B2(X)	B2(Y)
2000.746	-3982.5	2000.746	-3900	2000.746	-3737.5	2000.746	-3670	2000.746	-3847.5
2000.747	-3902.5	2000.747	-3747.5	2000.747	-3650	2000.747	-3615	2000.747	-3712.5
2000.748	-3752.5	2000.748	-3527.5	2000.748	-3530	2000.748	-3450	2000.748	-3565
2000.749	-3582.5	2000.749	-3422.5	2000.749	-3452.5	2000.749	-3380	2000.749	-3470
2000.75	-3477.5	2000.75	-3212.5	2000.75	-3355	2000.75	-3310	2000.75	-3342.5
2000.751	-3320	2000.751	-3115	2000.751	-3245	2000.751	-3152.5	2000.751	-3155
2000.752	-3180	2000.752	-2995	2000.752	-3185	2000.752	-3132.5	2000.752	-3147.5
2000.753	-3155	2000.753	-2917.5	2000.753	-3075	2000.753	-3030	2000.753	-3042.5
2000.754	-3035	2000.754	-2800	2000.754	-2997.5	2000.754	-2947.5	2000.754	-2917.5
2000.755	-3005	2000.755	-2780	2000.755	-2935	2000.755	-2850	2000.755	-2852.5
2000.756	-2932.5	2000.756	-2747.5	2000.756	-2900	2000.756	-2817.5	2000.756	-2835
2000.757	-2950	2000.757	-2785	2000.757	-2842.5	2000.757	-2777.5	2000.757	-2817.5
2000.758	-2880	2000.758	-2737.5	2000.758	-2770	2000.758	-2722.5	2000.758	-2690
2000.759	-2930	2000.759	-2792.5	2000.759	-2702.5	2000.759	-2660	2000.759	-2750
2000.76	-2910	2000.76	-2732.5	2000.76	-2630	2000.76	-2577.5	2000.76	-2697.5
2000.761	-2817.5	2000.761	-2770	2000.761	-2550	2000.761	-2475	2000.761	-2705
2000.762	-2787.5	2000.762	-2720	2000.762	-2497.5	2000.762	-2410	2000.762	-2635
2000.763	-2712.5	2000.763	-2710	2000.763	-2437.5	2000.763	-2337.5	2000.763	-2530
2000.764	-2660	2000.764	-2705	2000.764	-2387.5	2000.764	-2340	2000.764	-2575
2000.765	-2642.5	2000.765	-2632.5	2000.765	-2375	2000.765	-2307.5	2000.765	-2492.5
2000.766	-2515	2000.766	-2465	2000.766	-2330	2000.766	-2240	2000.766	-2365
2000.767	-2410	2000.767	-2440	2000.767	-2297.5	2000.767	-2200	2000.767	-2322.5
2000.768	-2330	2000.768	-2287.5	2000.768	-2270	2000.768	-2190	2000.768	-2257.5
2000.769	-2262.5	2000.769	-2230	2000.769	-2222.5	2000.769	-2182.5	2000.769	-2132.5
2000.77	-2225	2000.77	-2087.5	2000.77	-2167.5	2000.77	-2085	2000.77	-2112.5
2000.771	-2210	2000.771	-1995	2000.771	-2160	2000.771	-2075	2000.771	-2045
2000.772	-2090	2000.772	-1990	2000.772	-2140	2000.772	-2082.5	2000.772	-1960
2000.773	-2122.5	2000.773	-1970	2000.773	-2202.5	2000.773	-2100	2000.773	-1995
2000.774	-2175	2000.774	-1950	2000.774	-2207.5	2000.774	-2152.5	2000.774	-2085
2000.775	-2500	2000.775	-2155	2000.775	-2495	2000.775	-2397.5	2000.775	-2367.5
2000.776	-3270	2000.776	-3080	2000.776	-3417.5	2000.776	-3337.5	2000.776	-3180
2000.777	-3750	2000.777	-3642.5	2000.777	-3995	2000.777	-3882.5	2000.777	-3717.5
2000.778	-2800	2000.778	-2720	2000.778	-3075	2000.778	-3045	2000.778	-2527.5
2000.779	570	2000.779	365	2000.779	-1057.5	2000.779	-1407.5	2000.779	305
2000.78	7585	2000.78	7182.5	2000.78	4210	2000.78	3237.5	2000.78	6475
2000.781	18005	2000.781	17145	2000.781	13112.5	2000.781	11602.5	2000.781	15850
