D1(X)	D1(Y)	D3(X)	D3(Y)	D4(X)	D4(Y)	C3(X)	C3(Y)	C2(X)	C2(Y)
2000.746	-4372.5	2000.746	-3652.5	2000.746	-1090	2000.746	-3520	2000.746	-3970
2000.747	-4242.5	2000.747	-3465	2000.747	-995	2000.747	-3382.5	2000.747	-3830
2000.748	-3875	2000.748	-3280	2000.748	-960	2000.748	-3260	2000.748	-3620
2000.749	-3530	2000.749	-3110	2000.749	-922.5	2000.749	-3162.5	2000.749	-3417.5
2000.75	-3320	2000.75	-2897.5	2000.75	-830	2000.75	-3062.5	2000.75	-3310
2000.751	-3022.5	2000.751	-2800	2000.751	-792.5	2000.751	-2915	2000.751	-3122.5
2000.752	-2957.5	2000.752	-2677.5	2000.752	-772.5	2000.752	-2865	2000.752	-3045
2000.753	-2767.5	2000.753	-2525	2000.753	-680	2000.753	-2675	2000.753	-2807.5
2000.754	-2725	2000.754	-2425	2000.754	-635	2000.754	-2625	2000.754	-2730
2000.755	-2812.5	2000.755	-2435	2000.755	-625	2000.755	-2655	2000.755	-2642.5
2000.756	-2960	2000.756	-2392.5	2000.756	-600	2000.756	-2602.5	2000.756	-2747.5
2000.757	-3012.5	2000.757	-2420	2000.757	-545	2000.757	-2562.5	2000.757	-2702.5
2000.758	-3220	2000.758	-2417.5	2000.758	-535	2000.758	-2557.5	2000.758	-2755
2000.759	-3482.5	2000.759	-2482.5	2000.759	-455	2000.759	-2492.5	2000.759	-2827.5
2000.76	-3412.5	2000.76	-2457.5	2000.76	-427.5	2000.76	-2462.5	2000.76	-2787.5
2000.761	-3485	2000.761	-2542.5	2000.761	-387.5	2000.761	-2347.5	2000.761	-2850
2000.762	-3490	2000.762	-2492.5	2000.762	-345	2000.762	-2305	2000.762	-2875
2000.763	-3365	2000.763	-2422.5	2000.763	-327.5	2000.763	-2210	2000.763	-2797.5
2000.764	-3292.5	2000.764	-2465	2000.764	-312.5	2000.764	-2192.5	2000.764	-2752.5
2000.765	-3160	2000.765	-2452.5	2000.765	-287.5	2000.765	-2190	2000.765	-2677.5
2000.766	-2837.5	2000.766	-2260	2000.766	-242.5	2000.766	-2117.5	2000.766	-2567.5
2000.767	-2830	2000.767	-2205	2000.767	-232.5	2000.767	-2077.5	2000.767	-2475
2000.768	-2392.5	2000.768	-2075	2000.768	-232.5	2000.768	-2052.5	2000.768	-2327.5
2000.769	-2317.5	2000.769	-1925	2000.769	-250	2000.769	-2010	2000.769	-2112.5
2000.77	-2097.5	2000.77	-1840	2000.77	-220	2000.77	-1910	2000.77	-2062.5
2000.771	-2012.5	2000.771	-1815	2000.771	-240	2000.771	-1835	2000.771	-1987.5
2000.772	-2020	2000.772	-1720	2000.772	-245	2000.772	-1810	2000.772	-1927.5
2000.773	-1930	2000.773	-1657.5	2000.773	-237.5	2000.773	-1830	2000.773	-1915
2000.774	-1857.5	2000.774	-1732.5	2000.774	-267.5	2000.774	-1955	2000.774	-1975
2000.775	-2232.5	2000.775	-2007.5	2000.775	-455	2000.775	-2200	2000.775	-2227.5
2000.776	-3172.5	2000.776	-2990	2000.776	-997.5	2000.776	-3147.5	2000.776	-3060
2000.777	-3637.5	2000.777	-3480	2000.777	-1235	2000.777	-3690	2000.777	-3595
2000.778	-3090	2000.778	-2400	2000.778	-502.5	2000.778	-2625	2000.778	-2530
2000.779	-742.5	2000.779	-40	2000.779	667.5	2000.779	207.5	2000.779	422.5
2000.78	4192.5	2000.78	4965	2000.78	3330	2000.78	6205	2000.78	6630
2000.781	12090	2000.781	12765	2000.781	7165	2000.781	15085	2000.781	15925
2000.782	21857.5	2000.782	22335	2000.782	11910	2000.782	25810	2000.782	26555
2000.783	29820	2000.783	30727.5	2000.783	16552.5	2000.783	34965	2000.783	34995
2000.784	36007.5	2000.784	39797.5	2000.784	22092.5	2000.784	44295	2000.784	41880
2000.785	41102.5	2000.785	50385	2000.785	27292.5	2000.785	54530	2000.785	47430
2000.786	45775	2000.786	57427.5	2000.786	26067.5	2000.786	59575	2000.786	50472.5
2000.787	51040	2000.787	60470	2000.787	22145	2000.787	56520	2000.787	51895
2000.788	55617.5	2000.788	66737.5	2000.788	20040	2000.788	3337.5	2000.788	43465
2000.789	38730	2000.789	-6495	2000.789	-14125	2000.789	-16850	2000.789	-11272.5
2000.79	4792.5	2000.79	-13762.5	2000.79	-8032.5	2000.79	-10177.5	2000.79	-6597.5
2000.791	3195	2000.791	-6127.5	2000.791	-4267.5	2000.791	-7142.5	2000.791	-3847.5
2000.792	6077.5	2000.792	-1712.5	2000.792	-1792.5	2000.792	-3140	2000.792	-90
2000.793	8685	2000.793	1127.5	2000.793	-355	2000.793	-37.5	2000.793	2945
2000.794	10447.5	2000.794	2662.5	2000.794	42.5	2000.794	1427.5	2000.794	4620
2000.795	11470	2000.795	3122.5	2000.795	-87.5	2000.795	1607.5	2000.795	5262.5
2000.796	12907.5	2000.796	4270	2000.796	287.5	2000.796	2537.5	2000.796	6477.5
2000.797	14845	2000.797	5560	2000.797	617.5	2000.797	3465	2000.797	7747.5
2000.798	16842.5	2000.798	6962.5	2000.798	942.5	2000.798	4355	2000.798	9132.5
2000.799	18952.5	2000.799	8607.5	2000.799	1382.5	2000.799	5442.5	2000.799	10682.5
2000.8	20875	2000.8	10297.5	2000.8	1817.5	2000.8	6500	2000.8	12257.5
2000.801	22440	2000.801	12150	2000.801	2387.5	2000.801	7945	2000.801	13822.5
