E2(X)	E2(Y)	E3(X)	E3(Y)	E4(X)	E4(Y)	F1(X)	F1(Y)	F3(X)	F3(Y)
2000.746	-3872.5	2000.746	-3440	2000.746	-3407.5	2000.746	-4485	2000.746	-3490
2000.747	-3810	2000.747	-3332.5	2000.747	-3335	2000.747	-4405	2000.747	-3412.5
2000.748	-3560	2000.748	-3155	2000.748	-3217.5	2000.748	-4167.5	2000.748	-3235
2000.749	-3355	2000.749	-3080	2000.749	-2947.5	2000.749	-4165	2000.749	-3120
2000.75	-3285	2000.75	-2957.5	2000.75	-2862.5	2000.75	-3907.5	2000.75	-2975
2000.751	-3050	2000.751	-2795	2000.751	-2710	2000.751	-3882.5	2000.751	-2717.5
2000.752	-2867.5	2000.752	-2710	2000.752	-2645	2000.752	-3807.5	2000.752	-2620
2000.753	-2780	2000.753	-2630	2000.753	-2512.5	2000.753	-3577.5	2000.753	-2515
2000.754	-2612.5	2000.754	-2550	2000.754	-2432.5	2000.754	-3550	2000.754	-2385
2000.755	-2592.5	2000.755	-2497.5	2000.755	-2367.5	2000.755	-3525	2000.755	-2372.5
2000.756	-2607.5	2000.756	-2512.5	2000.756	-2330	2000.756	-3472.5	2000.756	-2345
2000.757	-2640	2000.757	-2460	2000.757	-2357.5	2000.757	-3397.5	2000.757	-2307.5
2000.758	-2697.5	2000.758	-2455	2000.758	-2442.5	2000.758	-3410	2000.758	-2355
2000.759	-2732.5	2000.759	-2407.5	2000.759	-2355	2000.759	-3500	2000.759	-2415
2000.76	-2690	2000.76	-2460	2000.76	-2420	2000.76	-3402.5	2000.76	-2342.5
2000.761	-2792.5	2000.761	-2415	2000.761	-2305	2000.761	-3352.5	2000.761	-2380
2000.762	-2717.5	2000.762	-2310	2000.762	-2382.5	2000.762	-3177.5	2000.762	-2367.5
2000.763	-2650	2000.763	-2302.5	2000.763	-2327.5	2000.763	-3290	2000.763	-2300
2000.764	-2655	2000.764	-2330	2000.764	-2275	2000.764	-3082.5	2000.764	-2282.5
2000.765	-2615	2000.765	-2322.5	2000.765	-2115	2000.765	-3020	2000.765	-2287.5
2000.766	-2490	2000.766	-2165	2000.766	-2072.5	2000.766	-2882.5	2000.766	-2200
2000.767	-2317.5	2000.767	-2125	2000.767	-2022.5	2000.767	-2835	2000.767	-2097.5
2000.768	-2182.5	2000.768	-2045	2000.768	-1807.5	2000.768	-2720	2000.768	-2002.5
2000.769	-2030	2000.769	-1985	2000.769	-1702.5	2000.769	-2667.5	2000.769	-1822.5
2000.77	-1902.5	2000.77	-1877.5	2000.77	-1665	2000.77	-2532.5	2000.77	-1700
2000.771	-1777.5	2000.771	-1825	2000.771	-1640	2000.771	-2570	2000.771	-1615
2000.772	-1752.5	2000.772	-1725	2000.772	-1637.5	2000.772	-2545	2000.772	-1607.5
2000.773	-1705	2000.773	-1807.5	2000.773	-1702.5	2000.773	-2512.5	2000.773	-1617.5
2000.774	-1797.5	2000.774	-1795	2000.774	-1637.5	2000.774	-2622.5	2000.774	-1547.5
2000.775	-2027.5	2000.775	-2120	2000.775	-1950	2000.775	-2855	2000.775	-1880
2000.776	-2940	2000.776	-3010	2000.776	-2892.5	2000.776	-3805	2000.776	-2802.5
2000.777	-3220	2000.777	-3402.5	2000.777	-3427.5	2000.777	-3977.5	2000.777	-3150
2000.778	-1997.5	2000.778	-2285	2000.778	-2650	2000.778	-2567.5	2000.778	-2042.5
2000.779	680	2000.779	-187.5	2000.779	-1840	2000.779	855	2000.779	-297.5
2000.78	5755	2000.78	4335	2000.78	1070	2000.78	6790	2000.78	3557.5
2000.781	13910	2000.781	12060	2000.781	7187.5	2000.781	16420	2000.781	11022.5
2000.782	23715	2000.782	22017.5	2000.782	16552.5	2000.782	27432.5	2000.782	21100
2000.783	31360	2000.783	30980	2000.783	27000	2000.783	34550	2000.783	30530
2000.784	38342.5	2000.784	40757.5	2000.784	38317.5	2000.784	39237.5	2000.784	39532.5
2000.785	46392.5	2000.785	51252.5	2000.785	49555	2000.785	44072.5	2000.785	49497.5
2000.786	53027.5	2000.786	58157.5	2000.786	56395	2000.786	49600	2000.786	56390
2000.787	59112.5	2000.787	63387.5	2000.787	59742.5	2000.787	53407.5	2000.787	62940
2000.788	66070	2000.788	71080	2000.788	62745	2000.788	42690	2000.788	75407.5
2000.789	-3697.5	2000.789	-18950	2000.789	-20650	2000.789	-10057.5	2000.789	-22712.5
2000.79	-9580	2000.79	-13547.5	2000.79	-12727.5	2000.79	-4922.5	2000.79	-11187.5
2000.791	-1732.5	2000.791	-5947.5	2000.791	-6632.5	2000.791	1655	2000.791	-2962.5
2000.792	2722.5	2000.792	-1420	2000.792	-2460	2000.792	7042.5	2000.792	1732.5
2000.793	5982.5	2000.793	1857.5	2000.793	717.5	2000.793	11512.5	2000.793	5187.5
2000.794	8072.5	2000.794	3570	2000.794	2570	2000.794	14437.5	2000.794	7262.5
2000.795	9312.5	2000.795	4395	2000.795	3175	2000.795	16615	2000.795	8440
2000.796	11385	2000.796	6037.5	2000.796	4615	2000.796	19377.5	2000.796	10497.5
2000.797	13652.5	2000.797	7902.5	2000.797	6227.5	2000.797	22257.5	2000.797	12632.5
2000.798	16067.5	2000.798	9890	2000.798	7977.5	2000.798	24765	2000.798	14980
2000.799	18527.5	2000.799	12225	2000.799	9927.5	2000.799	27212.5	2000.799	17412.5
2000.8	20817.5	2000.8	14590	2000.8	12005	2000.8	28640	2000.8	19625
2000.801	22742.5	2000.801	16995	2000.801	14055	2000.801	29520	2000.801	21582.5
2000.802	24115	2000.802	19045	2000.802	16137.5	2000.802	29855	2000.802	23045
2000.803	25082.5	2000.803	20827.5	2000.803	18105	2000.803	29632.5	2000.803	24012.5
2000.804	25375	2000.804	22062.5	2000.804	19527.5	2000.804	29187.5	2000.804	24385
2000.805	25362.5	2000.805	22767.5	2000.805	20545	2000.805	28577.5	2000.805	24325
2000.806	25052.5	2000.806	22947.5	2000.806	20997.5	2000.806	27822.5	2000.806	24140
2000.807	24565	2000.807	22847.5	2000.807	21047.5	2000.807	26960	2000.807	23632.5
2000.808	23962.5	2000.808	22532.5	2000.808	20935	2000.808	25985	2000.808	23057.5
2000.809	23212.5	2000.809	22097.5	2000.809	20550	2000.809	25167.5	2000.809	22385
2000.81	22395	2000.81	21332.5	2000.81	19865	2000.81	24037.5	2000.81	21555
2000.811	21557.5	2000.811	20612.5	2000.811	19312.5	2000.811	23075	2000.811	20712.5
2000.812	20587.5	2000.812	19745	2000.812	18387.5	2000.812	22037.5	2000.812	19825
2000.813	19700	2000.813	18872.5	2000.813	17530	2000.813	20902.5	2000.813	18850
2000.814	18865	2000.814	18057.5	2000.814	16637.5	2000.814	19972.5	2000.814	17990
2000.815	17975	2000.815	17195	2000.815	15875	2000.815	19047.5	2000.815	17110
2000.816	17020	2000.816	16327.5	2000.816	14967.5	2000.816	17972.5	2000.816	16127.5
