F4(X)	F4(Y)	F5(X)	F5(Y)	G3(X)	G3(Y)	G2(X)	G2(Y)
2000.746	-3640	2000.746	-3560	2000.746	-3277.5	2000.746	-3672.5
2000.747	-3565	2000.747	-3445	2000.747	-3145	2000.747	-3540
2000.748	-3410	2000.748	-3342.5	2000.748	-3045	2000.748	-3347.5
2000.749	-3305	2000.749	-3262.5	2000.749	-2830	2000.749	-3157.5
2000.75	-3265	2000.75	-3200	2000.75	-2787.5	2000.75	-3040
2000.751	-3115	2000.751	-3102.5	2000.751	-2615	2000.751	-2780
2000.752	-3040	2000.752	-3002.5	2000.752	-2550	2000.752	-2680
2000.753	-2935	2000.753	-2905	2000.753	-2382.5	2000.753	-2537.5
2000.754	-2885	2000.754	-2752.5	2000.754	-2327.5	2000.754	-2427.5
2000.755	-2820	2000.755	-2772.5	2000.755	-2305	2000.755	-2435
2000.756	-2752.5	2000.756	-2705	2000.756	-2307.5	2000.756	-2402.5
2000.757	-2717.5	2000.757	-2680	2000.757	-2225	2000.757	-2367.5
2000.758	-2637.5	2000.758	-2705	2000.758	-2240	2000.758	-2352.5
2000.759	-2602.5	2000.759	-2670	2000.759	-2172.5	2000.759	-2390
2000.76	-2520	2000.76	-2715	2000.76	-2175	2000.76	-2365
2000.761	-2425	2000.761	-2620	2000.761	-2160	2000.761	-2395
2000.762	-2382.5	2000.762	-2607.5	2000.762	-2015	2000.762	-2375
2000.763	-2317.5	2000.763	-2672.5	2000.763	-2027.5	2000.763	-2330
2000.764	-2325	2000.764	-2535	2000.764	-1945	2000.764	-2340
2000.765	-2252.5	2000.765	-2515	2000.765	-1895	2000.765	-2325
2000.766	-2200	2000.766	-2480	2000.766	-1910	2000.766	-2155
2000.767	-2187.5	2000.767	-2422.5	2000.767	-1882.5	2000.767	-2090
2000.768	-2137.5	2000.768	-2370	2000.768	-1747.5	2000.768	-1950
2000.769	-2092.5	2000.769	-2317.5	2000.769	-1755	2000.769	-1822.5
2000.77	-2072.5	2000.77	-2207.5	2000.77	-1542.5	2000.77	-1660
2000.771	-2055	2000.771	-2237.5	2000.771	-1572.5	2000.771	-1572.5
2000.772	-2025	2000.772	-2230	2000.772	-1582.5	2000.772	-1617.5
2000.773	-2055	2000.773	-2162.5	2000.773	-1470	2000.773	-1527.5
2000.774	-2107.5	2000.774	-2190	2000.774	-1537.5	2000.774	-1592.5
2000.775	-2392.5	2000.775	-2537.5	2000.775	-1840	2000.775	-1877.5
2000.776	-3287.5	2000.776	-3462.5	2000.776	-2725	2000.776	-2697.5
2000.777	-3847.5	2000.777	-4355	2000.777	-3157.5	2000.777	-2940
2000.778	-3032.5	2000.778	-4070	2000.778	-2282.5	2000.778	-1715
2000.779	-1622.5	2000.779	-4215	2000.779	-200	2000.779	417.5
2000.78	2752.5	2000.78	-2227.5	2000.78	4790	2000.78	4670
2000.781	10990	2000.781	3592.5	2000.781	13982.5	2000.781	12535
2000.782	22665	2000.782	14322.5	2000.782	25467.5	2000.782	22422.5
2000.783	33965	2000.783	27917.5	2000.783	35422.5	2000.783	30005
2000.784	42190	2000.784	41145	2000.784	43032.5	2000.784	35495
2000.785	45162.5	2000.785	53840	2000.785	50377.5	2000.785	42520
2000.786	37765	2000.786	57037.5	2000.786	49260	2000.786	49812.5
2000.787	41455	2000.787	54160	2000.787	41067.5	2000.787	53015
2000.788	53647.5	2000.788	-687.5	2000.788	22927.5	2000.788	30927.5
2000.789	-14442.5	2000.789	-15062.5	2000.789	-17712.5	2000.789	-13640
2000.79	-4427.5	2000.79	-9142.5	2000.79	-5372.5	2000.79	-4670
2000.791	945	2000.791	-5307.5	2000.791	-1560	2000.791	945
2000.792	5362.5	2000.792	-1415	2000.792	2360	2000.792	5792.5
2000.793	8770	2000.793	1805	2000.793	6072.5	2000.793	9867.5
2000.794	10567.5	2000.794	3217.5	2000.794	8242.5	2000.794	12692.5
2000.795	11262.5	2000.795	3577.5	2000.795	9362.5	2000.795	14492.5
2000.796	12735	2000.796	4580	2000.796	11015	2000.796	17062.5
2000.797	14260	2000.797	5665	2000.797	12780	2000.797	19575
2000.798	15770	2000.798	6872.5	2000.798	14307.5	2000.798	21962.5
2000.799	17417.5	2000.799	8337.5	2000.799	15892.5	2000.799	24082.5
2000.8	18807.5	2000.8	9770	2000.8	17082.5	2000.8	25490
2000.801	20072.5	2000.801	11567.5	2000.801	18027.5	2000.801	26332.5
2000.802	21142.5	2000.802	13552.5	2000.802	18762.5	2000.802	26707.5
2000.803	21875	2000.803	15397.5	2000.803	19345	2000.803	26662.5
2000.804	22270	2000.804	17022.5	2000.804	19702.5	2000.804	26307.5
2000.805	22415	2000.805	18302.5	2000.805	19970	2000.805	25800
2000.806	22290	2000.806	19215	2000.806	20062.5	2000.806	25155
2000.807	22037.5	2000.807	19597.5	2000.807	19955	2000.807	24392.5
2000.808	21542.5	2000.808	19667.5	2000.808	19767.5	2000.808	23660
2000.809	20997.5	2000.809	19480	2000.809	19512.5	2000.809	22915
2000.81	20332.5	2000.81	19060	2000.81	19055	2000.81	22017.5
2000.811	19565	2000.811	18507.5	2000.811	18537.5	2000.811	21172.5
2000.812	18775	2000.812	17945	2000.812	18020	2000.812	20280
2000.813	17980	2000.813	17237.5	2000.813	17400	2000.813	19432.5
2000.814	17195	2000.814	16560	2000.814	16805	2000.814	18630
2000.815	16357.5	2000.815	15810	2000.815	16127.5	2000.815	17715
2000.816	15580	2000.816	15007.5	2000.816	15410	2000.816	16787.5
2000.817	14855	2000.817	14192.5	2000.817	14725	2000.817	15935
2000.818	14070	2000.818	13510	2000.818	14085	2000.818	15040
2000.819	13382.5	2000.819	12787.5	2000.819	13377.5	2000.819	14252.5
2000.82	12665	2000.82	12137.5	2000.82	12727.5	2000.82	13542.5
2000.821	12002.5	2000.821	11475	2000.821	12250	2000.821	12790
2000.822	11362.5	2000.822	10735	2000.822	11587.5	2000.822	12032.5
2000.823	10772.5	2000.823	10225	2000.823	11137.5	2000.823	11422.5
2000.824	10212.5	2000.824	9632.5	2000.824	10570	2000.824	10800
2000.825	9637.5	2000.825	9050	2000.825	10095	2000.825	10237.5
2000.826	9145	2000.826	8500	2000.826	9657.5	2000.826	9727.5
2000.827	8647.5	2000.827	7985	2000.827	9287.5	2000.827	9407.5
2000.828	8200	2000.828	7427.5	2000.828	9012.5	2000.828	9057.5
2000.829	7757.5	2000.829	6990	2000.829	8690	2000.829	8645
2000.83	7320	2000.83	6605	2000.83	8230	2000.83	8282.5
2000.831	6937.5	2000.831	6112.5	2000.831	8045	2000.831	7932.5
2000.832	6560	2000.832	5672.5	2000.832	7682.5	2000.832	7645
2000.833	6175	2000.833	5302.5	2000.833	7322.5	2000.833	7297.5
2000.834	5845	2000.834	4972.5	2000.834	7120	2000.834	7087.5
2000.835	5512.5	2000.835	4630	2000.835	6747.5	2000.835	6637.5
2000.836	5160	2000.836	4280	2000.836	6477.5	2000.836	6250
2000.837	4865	2000.837	3922.5	2000.837	6250	2000.837	5910
2000.838	4547.5	2000.838	3615	2000.838	5937.5	2000.838	5497.5
2000.839	4325	2000.839	3262.5	2000.839	5687.5	2000.839	5172.5
2000.84	4080	2000.84	2927.5	2000.84	5407.5	2000.84	4792.5
2000.841	3830	2000.841	2647.5	2000.841	5190	2000.841	4472.5
2000.842	3620	2000.842	2440	2000.842	4880	2000.842	4235
2000.843	3372.5	2000.843	2080	2000.843	4660	2000.843	3985
2000.844	3160	2000.844	1885	2000.844	4515	2000.844	3705
2000.845	2885	2000.845	1635	2000.845	4335	2000.845	3517.5
2000.846	2667.5	2000.846	1460	2000.846	4085	2000.846	3355
2000.847	2547.5	2000.847	1327.5	2000.847	4012.5	2000.847	3310
2000.848	2360	2000.848	1090	2000.848	3997.5	2000.848	3170
2000.849	2152.5	2000.849	927.5	2000.849	3902.5	2000.849	3135
2000.85	1952.5	2000.85	702.5	2000.85	3687.5	2000.85	3010
2000.851	1752.5	2000.851	492.5	2000.851	3532.5	2000.851	2880
2000.852	1580	2000.852	417.5	2000.852	3435	2000.852	2787.5
2000.853	1350	2000.853	115	2000.853	3260	2000.853	2605
2000.854	1135	2000.854	37.5	2000.854	3052.5	2000.854	2362.5
2000.855	915	2000.855	-150	2000.855	2802.5	2000.855	2107.5
2000.856	752.5	2000.856	-342.5	2000.856	2557.5	2000.856	1882.5
2000.857	535	2000.857	-385	2000.857	2402.5	2000.857	1662.5
2000.858	322.5	2000.858	-695	2000.858	2130	2000.858	1325
2000.859	92.5	2000.859	-835	2000.859	1850	2000.859	997.5
2000.86	-150	2000.86	-942.5	2000.86	1582.5	2000.86	737.5
