H2(X)	H2(Y)	H3(X)	H3(Y)	H4(X)	H4(Y)	J3(X)	J3(Y)
2000.746	-3795	2000.746	-3410	2000.746	-3490	2000.746	-3830
2000.747	-3707.5	2000.747	-3340	2000.747	-3412.5	2000.747	-3715
2000.748	-3530	2000.748	-3165	2000.748	-3302.5	2000.748	-3607.5
2000.749	-3302.5	2000.749	-2912.5	2000.749	-3195	2000.749	-3447.5
2000.75	-3172.5	2000.75	-2682.5	2000.75	-3072.5	2000.75	-3295
2000.751	-2952.5	2000.751	-2612.5	2000.751	-2990	2000.751	-3145
2000.752	-2857.5	2000.752	-2480	2000.752	-2887.5	2000.752	-3007.5
2000.753	-2697.5	2000.753	-2310	2000.753	-2810	2000.753	-2915
2000.754	-2585	2000.754	-2155	2000.754	-2725	2000.754	-2777.5
2000.755	-2635	2000.755	-2112.5	2000.755	-2680	2000.755	-2752.5
2000.756	-2535	2000.756	-2167.5	2000.756	-2627.5	2000.756	-2765
2000.757	-2590	2000.757	-2157.5	2000.757	-2570	2000.757	-2660
2000.758	-2640	2000.758	-2157.5	2000.758	-2525	2000.758	-2697.5
2000.759	-2662.5	2000.759	-2175	2000.759	-2490	2000.759	-2662.5
2000.76	-2662.5	2000.76	-2132.5	2000.76	-2417.5	2000.76	-2610
2000.761	-2615	2000.761	-2165	2000.761	-2375	2000.761	-2642.5
2000.762	-2615	2000.762	-2130	2000.762	-2280	2000.762	-2585
2000.763	-2632.5	2000.763	-2165	2000.763	-2275	2000.763	-2545
2000.764	-2577.5	2000.764	-2140	2000.764	-2252.5	2000.764	-2557.5
2000.765	-2532.5	2000.765	-2122.5	2000.765	-2165	2000.765	-2457.5
2000.766	-2400	2000.766	-1950	2000.766	-2120	2000.766	-2362.5
2000.767	-2315	2000.767	-1892.5	2000.767	-2057.5	2000.767	-2397.5
2000.768	-2087.5	2000.768	-1785	2000.768	-2005	2000.768	-2245
2000.769	-1952.5	2000.769	-1667.5	2000.769	-1975	2000.769	-2247.5
2000.77	-1795	2000.77	-1600	2000.77	-1925	2000.77	-2167.5
2000.771	-1725	2000.771	-1530	2000.771	-1835	2000.771	-2050
2000.772	-1702.5	2000.772	-1492.5	2000.772	-1897.5	2000.772	-1982.5
2000.773	-1770	2000.773	-1425	2000.773	-1867.5	2000.773	-1945
2000.774	-1735	2000.774	-1425	2000.774	-1850	2000.774	-1945
2000.775	-1992.5	2000.775	-1750	2000.775	-2162.5	2000.775	-2240
2000.776	-2802.5	2000.776	-2550	2000.776	-2970	2000.776	-3032.5
2000.777	-2985	2000.777	-2812.5	2000.777	-3490	2000.777	-3205
2000.778	-1917.5	2000.778	-2100	2000.778	-3042.5	2000.778	-2547.5
2000.779	-235	2000.779	-1292.5	2000.779	-3057.5	2000.779	-1920
2000.78	3645	2000.78	1672.5	2000.78	-562.5	2000.78	837.5
2000.781	11085	2000.781	8752.5	2000.781	6842.5	2000.781	7620
2000.782	20530	2000.782	19322.5	2000.782	19107.5	2000.782	17712.5
2000.783	27382.5	2000.783	28617.5	2000.783	31042.5	2000.783	25657.5
2000.784	31145	2000.784	35165	2000.784	40600	2000.784	31460
2000.785	37520	2000.785	45640	2000.785	53600	2000.785	40450
2000.786	44747.5	2000.786	53670	2000.786	57865	2000.786	47802.5
2000.787	48227.5	2000.787	57877.5	2000.787	59722.5	2000.787	52695
2000.788	807.5	2000.788	23117.5	2000.788	61875	2000.788	29547.5
2000.789	-10680	2000.789	-14880	2000.789	-23522.5	2000.789	-15375
2000.79	-5617.5	2000.79	-5745	2000.79	-8957.5	2000.79	-8685
2000.791	-920	2000.791	-275	2000.791	-1990	2000.791	-3205
2000.792	3642.5	2000.792	4402.5	2000.792	2980	2000.792	1532.5
2000.793	7582.5	2000.793	8290	2000.793	6935	2000.793	5397.5
2000.794	10250	2000.794	10777.5	2000.794	9332.5	2000.794	7832.5
2000.795	11862.5	2000.795	12200	2000.795	10620	2000.795	9127.5
2000.796	14140	2000.796	14357.5	2000.796	12780	2000.796	11222.5
2000.797	16420	2000.797	16500	2000.797	14880	2000.797	13390
2000.798	18650	2000.798	18612.5	2000.798	17020	2000.798	15357.5
